timescrape,longitude,latitude,timescrape,longitude,latitude
1507226121,113.556442,23.035046,17.0,0.000973000000001889,-0.0016689999999996985
1507226137,113.557432,23.033359,16.0,0.0009900000000016007,-0.0016870000000004381
1507226152,113.558413,23.031659,15.0,0.0009809999999959018,-0.0016999999999995907
1507226168,113.559411,23.029938,16.0,0.0009979999999956135,-0.0017209999999998615
1507226186,113.560257,23.028168,18.0,0.0008459999999956835,-0.0017700000000004934
1507226206,113.560161,23.026303,20.0,-9.599999999920783e-05,-0.001865000000002226
1507226226,113.561094,23.024733,20.0,0.0009330000000034033,-0.0015699999999974068
1507226243,113.563138,23.024611,17.0,0.0020439999999979364,-0.0001220000000010657
1507226266,113.565269,23.024607,23.0,0.002131000000005656,-4.000000000559112e-06
1507226386,113.56685,23.024373,120.0,0.001581000000001609,-0.00023399999999895726
1507226438,113.569125,23.024503,52.0,0.0022749999999973625,0.0001299999999986312
1507226470,113.571249,23.024384,32.0,0.0021239999999949077,-0.00011899999999798183
1507226519,113.573485,23.024247,49.0,0.002236000000010563,-0.0001370000000022742
1507226542,113.575529,23.023976,23.0,0.0020439999999979364,-0.0002709999999979118
1507226561,113.577582,23.023476,19.0,0.0020530000000036353,-0.0005000000000023874
1507226580,113.579539,23.022773,19.0,0.0019569999999902166,-0.0007029999999978997
1507226599,113.58156,23.022003,19.0,0.0020209999999991624,-0.0007699999999992713
1507226628,113.583541,23.021217,29.0,0.0019810000000006767,-0.0007860000000015077
1507226650,113.585435,23.020483,22.0,0.0018940000000071677,-0.0007340000000013447
1507226669,113.587432,23.019781,19.0,0.001997000000002913,-0.0007020000000004245
1507226687,113.589478,23.019412,18.0,0.002045999999992887,-0.00036899999999917554
1507226706,113.59154,23.019128,19.0,0.0020619999999951233,-0.0002840000000006171
1507226727,113.593618,23.018877,21.0,0.0020780000000115706,-0.00025099999999866895
1507226746,113.595673,23.018642,19.0,0.0020549999999985857,-0.00023499999999998522
1507226762,113.597807,23.018408,16.0,0.002133999999998082,-0.00023399999999895726
1507226776,113.59987,23.018191,14.0,0.0020629999999925985,-0.00021699999999924557
1507226790,113.601869,23.017957,14.0,0.0019989999999978636,-0.00023400000000250998
1507226805,113.603916,23.017707,15.0,0.002047000000004573,-0.000249999999997641
1507226821,113.606035,23.017457,16.0,0.0021190000000075315,-0.0002500000000011937
1507226836,113.608171,23.017207,15.0,0.0021359999999930324,-0.0002500000000011937
1507226851,113.610219,23.01691,15.0,0.002048000000002048,-0.00029699999999976967
1507226867,113.612195,23.016424,16.0,0.0019759999999990896,-0.0004859999999986542
1507226886,113.614171,23.015743,19.0,0.0019759999999990896,-0.0006810000000001537
1507227007,113.614531,23.015593,121.0,0.0003600000000005821,-0.00015000000000142677
1507227057,113.615827,23.017044,50.0,0.0012959999999964111,0.001450999999999425
1507227077,113.616971,23.018696,20.0,0.001144000000010692,0.0016519999999999868
1507227096,113.618084,23.020313,19.0,0.0011129999999894835,0.0016170000000030882
1507227127,113.61902,23.021998,31.0,0.0009360000000100399,0.0016849999999983822
1507227155,113.61714,23.022948,28.0,-0.0018799999999998818,0.0009499999999995623
1507227173,113.615235,23.023863,18.0,-0.001905000000007817,0.000914999999999111
1507227191,113.613323,23.024762,18.0,-0.0019120000000043547,0.0008990000000004272
1507227211,113.611435,23.024295,20.0,-0.0018879999999938946,-0.0004670000000004393
1507227231,113.610051,23.022726,20.0,-0.0013840000000016062,-0.0015689999999999316
1507227250,113.608667,23.021193,19.0,-0.0013840000000016062,-0.0015329999999984523
1507227269,113.607147,23.019924,19.0,-0.0015199999999992997,-0.0012690000000006307
1507227289,113.605148,23.01946,20.0,-0.0019989999999978636,-0.00046400000000090813
1507227309,113.603101,23.01926,20.0,-0.002047000000004573,-0.00019999999999953388
1507227333,113.601013,23.01901,24.0,-0.002088000000000534,-0.000249999999997641
1507227453,113.600366,23.018958,120.0,-0.0006470000000007303,-5.200000000016303e-05
1507227528,113.600366,23.018958,75.0,0.0,0.0
1507227528,113.600366,23.018958,0.0,0.0,0.0
1507227528,113.600366,23.018958,0.0,0.0,0.0
1507227528,113.600366,23.018958,0.0,0.0,0.0
1507227573,113.600366,23.018958,45.0,0.0,0.0
1507227676,113.600102,23.019608,103.0,-0.0002639999999871634,0.0006500000000002615
1507227676,113.600102,23.019608,0.0,0.0,0.0
1507227676,113.600102,23.019608,0.0,0.0,0.0
1507227676,113.600102,23.019608,0.0,0.0,0.0
1507227694,113.600086,23.020058,18.0,-1.6000000002236447e-05,0.0004499999999971749
1507227814,113.60007,23.020076,120.0,-1.6000000002236447e-05,1.8000000000739647e-05
1507227871,113.60007,23.020076,57.0,0.0,0.0
1507227871,113.60007,23.020076,0.0,0.0,0.0
1507227883,113.60007,23.020076,12.0,0.0,0.0
1507228004,113.599534,23.020008,121.0,-0.0005359999999967613,-6.799999999884676e-05
1507228124,113.599534,23.020008,120.0,0.0,0.0
1507228243,113.599534,23.020008,119.0,0.0,0.0
1507228363,113.599534,23.020008,120.0,0.0,0.0
1507228482,113.599534,23.020008,119.0,0.0,0.0
1507228602,113.599534,23.020008,120.0,0.0,0.0
1507228720,113.599534,23.020008,118.0,0.0,0.0
1507228841,113.599534,23.020008,121.0,0.0,0.0
1507228960,113.599534,23.020008,119.0,0.0,0.0
1507229080,113.599534,23.020008,120.0,0.0,0.0
1507229198,113.599534,23.020008,118.0,0.0,0.0
1507229318,113.599534,23.020008,120.0,0.0,0.0
1507229438,113.599534,23.020008,120.0,0.0,0.0
1507229557,113.599534,23.020008,119.0,0.0,0.0
1507229677,113.599534,23.020008,120.0,0.0,0.0
1507229796,113.599534,23.020008,119.0,0.0,0.0
1507229915,113.599534,23.020008,119.0,0.0,0.0
1507230036,113.599534,23.020008,121.0,0.0,0.0
1507230155,113.599534,23.020008,119.0,0.0,0.0
1507230275,113.599534,23.020008,120.0,0.0,0.0
